City,District,Category,Kind,School Name
ADANA,CEYHAN,Primary School,Özel İlkokul,ÖZEL CEYHAN İLK HEDEF BAŞARI KOLEJİ İLKOKULU
ADANA,CEYHAN,Primary School,Özel İlkokul,ÖZEL DÖŞKAYA KOLEJİ İLKOKULU
ADANA,ÇUKUROVA,Primary School,Özel İlkokul,BAŞKENT ÜNİVERSİTESİ ÖZEL BAŞKENT İLKOKULU
ADANA,ÇUKUROVA,Primary School,Özel İlkokul,ÖZEL ADANA ÇAĞLA KOLEJİ İLKOKULU
ADANA,ÇUKUROVA,Primary School,Özel İlkokul,ÖZEL ADANA DOĞA İLKOKULU
ADANA,ÇUKUROVA,Primary School,Özel İlkokul,ÖZEL ADANA EKİM KOLEJİ İLKOKULU
ADANA,ÇUKUROVA,Primary School,Özel İlkokul,ÖZEL ADANA FİNAL İLKOKULU
ADANA,ÇUKUROVA,Primary School,Özel İlkokul,ÖZEL ADANA GÜNDOĞDU İLKOKULU
ADANA,ÇUKUROVA,Primary School,Özel İlkokul,ÖZEL ADANA MODERN BİLİMLER AKADEMİSİ (MBA) İLKOKULU
ADANA,ÇUKUROVA,Primary School,Özel İlkokul,ÖZEL ALTINELLER İLKOKULU
ADANA,ÇUKUROVA,Primary School,Özel İlkokul,ÖZEL ÇUKUROVA ALTINELLER İLKOKULU
ADANA,ÇUKUROVA,Primary School,Özel İlkokul,ÖZEL ÇUKUROVA ERAL İLKOKULU
ADANA,ÇUKUROVA,Primary School,Özel İlkokul,ÖZEL ERAL İLKOKULU
ADANA,ÇUKUROVA,Primary School,Özel İlkokul,ÖZEL ERAL MİNİ İLKOKULU
ADANA,ÇUKUROVA,Primary School,Özel İlkokul,ÖZEL ERKAN ÇUKUROVA İLKOKULU
ADANA,ÇUKUROVA,Primary School,Özel İlkokul,ÖZEL KARMA İLKOKULU
ADANA,ÇUKUROVA,Primary School,Özel İlkokul,ÖZEL MİNECAN İLKOKULU
ADANA,ÇUKUROVA,Primary School,Özel İlkokul,ÖZEL SULAR İLKOKULU
ADANA,ÇUKUROVA,Primary School,Özel İlkokul,ÖZEL VARDA KOLEJİ İLKOKULU
ADANA,ÇUKUROVA,Primary School,Özel İlkokul,ÖZEL YENİ ADANA ORTADOĞU İLKOKULU
ADANA,KOZAN,Primary School,Özel İlkokul,ÖZEL  KOZAN KOLEJİ İLKOKULU
ADANA,SARIÇAM,Primary School,Özel İlkokul,ÖZEL ERKAN İLKOKULU
ADANA,SEYHAN,Primary School,Özel İlkokul,ÖZEL ADANA  İLKOKULU
ADANA,SEYHAN,Primary School,Özel İlkokul,ÖZEL ADANA BAHÇEŞEHİR KOLEJİ İLKOKULU
ADANA,SEYHAN,Primary School,Özel İlkokul,ÖZEL ADANA BİL KOLEJİ İLKOKULU
ADANA,SEYHAN,Primary School,Özel İlkokul,ÖZEL ADANA DÜŞÜNÜR KOLEJİ İLKOKULU
ADANA,SEYHAN,Primary School,Özel İlkokul,ÖZEL ADANA İSABET İLKOKULU
ADANA,SEYHAN,Primary School,Özel İlkokul,ÖZEL ADANA İSTANBUL LİDER KOLEJİ İLKOKULU
ADANA,SEYHAN,Primary School,Özel İlkokul,ÖZEL ADANA OKYANUS İLKOKULU
ADANA,SEYHAN,Primary School,Özel İlkokul,ÖZEL ÇUKUROVA MARMARA İLKOKULU
ADANA,SEYHAN,Primary School,Özel İlkokul,ÖZEL SEYHAN ALTINELLER İLKOKULU
ADANA,SEYHAN,Primary School,Özel İlkokul,ÖZEL SEYHAN MEKTEBİM İLKOKULU
ADANA,SEYHAN,Primary School,Özel İlkokul,ÖZEL YÜKSELİŞ İLKOKULU
ADANA,SEYHAN,Primary School,Özel İlkokul,TED ADANA KOLEJİ ÖZEL İLKOKULU
ADANA,CEYHAN,Secondary School,Özel Ortaokul,ÖZEL  DÖŞKAYA KOLEJİ ORTAOKULU
ADANA,CEYHAN,Secondary School,Özel Ortaokul,ÖZEL CEYHAN İLK HEDEF BAŞARI KOLEJİ ORTAOKULU
ADANA,CEYHAN,Secondary School,Özel Ortaokul,ÖZEL CEYHAN KOLEJİ ORTAOKULU
ADANA,ÇUKUROVA,Secondary School,Özel Ortaokul,BAŞKENT ÜNİVERSİTESİ ÖZEL BAŞKENT ORTAOKULU
ADANA,ÇUKUROVA,Secondary School,Özel Ortaokul,ÖZEL ADANA DOĞA ORTAOKULU
ADANA,ÇUKUROVA,Secondary School,Özel Ortaokul,ÖZEL ADANA EKİM KOLEJİ ORTAOKULU
ADANA,ÇUKUROVA,Secondary School,Özel Ortaokul,ÖZEL ADANA FİNAL ORTAOKULU
ADANA,ÇUKUROVA,Secondary School,Özel Ortaokul,ÖZEL ADANA GÜNDOĞDU ORTAOKULU
ADANA,ÇUKUROVA,Secondary School,Özel Ortaokul,ÖZEL ADANA MODERN BİLİMLER AKADEMİSİ (MBA) ORTAOKULU
ADANA,ÇUKUROVA,Secondary School,Özel Ortaokul,ÖZEL ALTINELLER ORTAOKULU
ADANA,ÇUKUROVA,Secondary School,Özel Ortaokul,ÖZEL ÇUKUROVA ALTINELLER ORTAOKULU
ADANA,ÇUKUROVA,Secondary School,Özel Ortaokul,ÖZEL ÇUKUROVA ERAL ORTAOKULU
ADANA,ÇUKUROVA,Secondary School,Özel Ortaokul,ÖZEL ERAL ORTAOKULU
ADANA,ÇUKUROVA,Secondary School,Özel Ortaokul,ÖZEL ERKAN ÇUKUROVA ORTAOKULU
ADANA,ÇUKUROVA,Secondary School,Özel Ortaokul,ÖZEL GÜZELYALI ALTINELLER ORTAOKULU
ADANA,ÇUKUROVA,Secondary School,Özel Ortaokul,ÖZEL KUZEY FİNAL ORTAOKULU
ADANA,ÇUKUROVA,Secondary School,Özel Ortaokul,ÖZEL MİNECAN ORTAOKULU
ADANA,ÇUKUROVA,Secondary School,Özel Ortaokul,ÖZEL SEKİZGEN ORTAOKULU
ADANA,ÇUKUROVA,Secondary School,Özel Ortaokul,ÖZEL SULAR ORTAOKULU
ADANA,ÇUKUROVA,Secondary School,Özel Ortaokul,ÖZEL VARDA ORTAOKULU
ADANA,ÇUKUROVA,Secondary School,Özel Ortaokul,ÖZEL YENİ ADANA ORTADOĞU ORTAOKULU
ADANA,KOZAN,Secondary School,Özel Ortaokul,ÖZEL  KOZAN KOLEJİ ORTAOKULU
ADANA,SARIÇAM,Secondary School,Özel Ortaokul,ÖZEL ERKAN ORTAOKULU
ADANA,SEYHAN,Secondary School,Özel Ortaokul,ÖZEL ADANA BAHÇEŞEHİR ORTAOKULU
ADANA,SEYHAN,Secondary School,Özel Ortaokul,ÖZEL ADANA BİL KOLEJİ ORTAOKULU
ADANA,SEYHAN,Secondary School,Özel Ortaokul,ÖZEL ADANA İSABET ORTAOKULU
ADANA,SEYHAN,Secondary School,Özel Ortaokul,ÖZEL ADANA İSTANBUL LİDER KOLEJİ ORTAOKULU
ADANA,SEYHAN,Secondary School,Özel Ortaokul,ÖZEL ADANA OKYANUS ORTAOKULU
ADANA,SEYHAN,Secondary School,Özel Ortaokul,ÖZEL ADANA ORTAOKULU
ADANA,SEYHAN,Secondary School,Özel Ortaokul,ÖZEL ÇUKUROVA MARMARA ORTAOKULU
ADANA,SEYHAN,Secondary School,Özel Ortaokul,ÖZEL FİNAL AKADEMİ ORTAOKULU
ADANA,SEYHAN,Secondary School,Özel Ortaokul,ÖZEL SEYHAN ALTINELLER ORTAOKULU
ADANA,SEYHAN,Secondary School,Özel Ortaokul,ÖZEL SEYHAN MEKTEBİM ORTAOKULU
ADANA,SEYHAN,Secondary School,Özel Ortaokul,ÖZEL SÜHEYLA  TOKYAY ORTAOKULU
ADANA,SEYHAN,Secondary School,Özel Ortaokul,ÖZEL YÜKSELİŞ ORTAOKULU
ADANA,SEYHAN,Secondary School,Özel Ortaokul,TED ADANA KOLEJİ ÖZEL ORTAOKULU
ADANA,YÜREĞİR,Secondary School,Özel Ortaokul,ÖZEL ALTINÇAĞ GELİŞİM ORTAOKULU
ADANA,CEYHAN,High School,Özel Anadolu Lisesi,ÖZEL CEYHAN BAŞARI KOLEJİ ANADOLU LİSESİ
ADANA,CEYHAN,High School,Özel Anadolu Lisesi,ÖZEL CEYHAN FİNAL AKADEMİ ANADOLU LİSESİ
ADANA,CEYHAN,High School,Özel Fen Lisesi,ÖZEL CEYHAN FİNAL AKADEMİ FEN LİSESİ
ADANA,CEYHAN,High School,Özel Anadolu Lisesi,ÖZEL CEYHAN İLK HEDEF BAŞARI KOLEJİ ANADOLU LİSESİ
ADANA,CEYHAN,High School,Özel Anadolu Lisesi,ÖZEL CEYHAN KOLEJİ ANADOLU LİSESİ
ADANA,CEYHAN,High School,Özel Fen Lisesi,ÖZEL CEYHAN KOLEJİ FEN LİSESİ
